quarter,course_number,section_number,title,schedule,description,program,school_id
Summer 2021,37882,88,Marketing Strategy Simulation,EMBA2 7:00AM-10:00AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/pradeep.chintagunta/37882_syllabus.pdf,Executive MBA North America,1
Winter 2021,37902,50,Foundations of Advanced Quantitative Marketing,TH 9:30AM-12:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/pradeep.chintagunta/37902_syllabus.pdf,PhD Program,1
Spring 2021,37903,50,Adv Mktg Theory:  Behavioral Science Approach,W 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/abigail.sussman/37903_syllabus.pdf,PhD Program,1
Winter 2021,37904,50,Advanced Quantitative Marketing,M 1:30PM-4:30PM,0,PhD Program,1
Spring 2021,37905,50,Marketing Literature Seminar,W 1:30PM-4:30PM,0,PhD Program,1
Winter 2021,37906,50,Applied Bayesian Econometrics,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/sanjog.misra/37906_syllabus.pdf,PhD Program,1
Spring 2021,37907,50,Behavioral Science Research Methods in Marketing,M 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/oleg.urminsky/37907_syllabus.pdf,PhD Program,1
Autumn 2020,37909,50,Cognitive Underpinnings of Decisions,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/daniel.bartels/37909_syllabus.pdf,PhD Program,1
Autumn 2020,38001,1,Managing in Organizations,F 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ann.mcgill/38001_syllabus.pdf,Full-Time MBA,1
Autumn 2020,38001,2,Managing in Organizations,F 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ann.mcgill/38001_syllabus.pdf,Full-Time MBA,1
Autumn 2020,38001,85,Managing in Organizations,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ann.mcgill/38001_syllabus.pdf,Weekend MBA,1
Winter 2021,38001,1,Managing in Organizations,W 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ed.o/38001_syllabus.pdf,Full-Time MBA,1
Winter 2021,38001,2,Managing in Organizations,W 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ed.o/38001_syllabus.pdf,Full-Time MBA,1
Spring 2021,38001,1,Managing in Organizations,M 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ayelet.fishbach/38001_syllabus.pdf,Full-Time MBA,1
Spring 2021,38001,2,Managing in Organizations,T 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ayelet.fishbach/38001_syllabus.pdf,Full-Time MBA,1
Spring 2021,38001,81,Managing in Organizations,M 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/ayelet.fishbach/38001_syllabus.pdf,Evening MBA,1
Autumn 2020,38002,1,Managerial Decision Making,M 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/christopher.hsee/38002_syllabus.pdf,Full-Time MBA,1
Autumn 2020,38002,81,Managerial Decision Making,M 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/christopher.hsee/38002_syllabus.pdf,Evening MBA,1
Autumn 2020,38002,85,Managerial Decision Making,S 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/christopher.hsee/38002_syllabus.pdf,Weekend MBA,1
Winter 2021,38002,1,Managerial Decision Making,F 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/reid.hastie/38002_syllabus.pdf,Full-Time MBA,1
Winter 2021,38002,2,Managerial Decision Making,F 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/reid.hastie/38002_syllabus.pdf,Full-Time MBA,1
Winter 2021,38002,85,Managerial Decision Making,S 9:00AM-12:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/reid.hastie/38002_syllabus.pdf,Weekend MBA,1
Spring 2021,38002,1,Managerial Decision Making,T 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/anuj.shah/38002_syllabus.pdf,Full-Time MBA,1
Spring 2021,38002,2,Managerial Decision Making,T 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/anuj.shah/38002_syllabus.pdf,Full-Time MBA,1
Spring 2021,38002,81,Managerial Decision Making,T 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/anuj.shah/38002_syllabus.pdf,Evening MBA,1
Spring 2021,38003,1,Power and Influence in Organizations,M 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/a.nussbaum/38003_syllabus.pdf,Full-Time MBA,1
Spring 2021,38003,2,Power and Influence in Organizations,M 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/a.nussbaum/38003_syllabus.pdf,Full-Time MBA,1
Spring 2021,38003,81,Power and Influence in Organizations,M 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/a.nussbaum/38003_syllabus.pdf,Evening MBA,1
Autumn 2020,38101,81,Persuasion: Effective Business Communication,W 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/hal.weitzman/38101_syllabus.pdf,Evening MBA,1
Winter 2021,38101,81,Persuasion: Effective Business Communication,TH 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/hal.weitzman/38101_syllabus.pdf,Evening MBA,1
Spring 2021,38102,81,Persuasion II: Influence Through Narrative,M 6:00PM-9:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/hal.weitzman/38102_syllabus.pdf,Evening MBA,1
Autumn 2020,38103,1,Strategies and Processes of Negotiation,M 1:30PM-4:30PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/thomas.talhelm/38103_syllabus.pdf,Full-Time MBA,1
Autumn 2020,38103,2,Strategies and Processes of Negotiation,T 2:00PM-5:00PM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/thomas.talhelm/38103_syllabus.pdf,Full-Time MBA,1
Autumn 2020,38103,3,Strategies and Processes of Negotiation,TH 8:30AM-11:30AM,https://appcenter.chicagobooth.edu/apps/syllabuspdf/publishedsyllabuspdf/joshua.dean/38103_syllabus.pdf,Full-Time MBA,1
