id,last_name,first_name,bio,
142,Middlebrooks,Arthur,http://www.chicagobooth.edu/faculty/directory/m/arthur-middlebrooks,
143,Moshary,Sarah,http://www.chicagobooth.edu/faculty/directory/m/sarah-moshary,
144,Dube,Jean Pierre,http://www.chicagobooth.edu/faculty/directory/d/jean-pierre-dube,
145,Mohan,Lil,http://www.chicagobooth.edu/faculty/directory/m/lil-mohan,
146,Misra,Sanjog,http://www.chicagobooth.edu/faculty/directory/m/sanjog-misra,
147,Chintagunta,Pradeep,http://www.chicagobooth.edu/faculty/directory/c/pradeep-k-chintagunta,
148,McGill,Ann,http://www.chicagobooth.edu/faculty/directory/m/ann-l-mcgill,
149,O'Brien,Ed,http://www.chicagobooth.edu/faculty/directory/o/ed-o-brien,
150,Fishbach,Ayelet,http://www.chicagobooth.edu/faculty/directory/f/ayelet-fishbach,
151,Hsee,Christopher,http://www.chicagobooth.edu/faculty/directory/h/christopher-k-hsee,
152,Hastie,Reid,http://www.chicagobooth.edu/faculty/directory/h/reid-hastie,
153,Shah,Anuj,http://www.chicagobooth.edu/faculty/directory/s/anuj-shah,
154,Nussbaum,A.,http://www.chicagobooth.edu/faculty/directory/n/a-nussbaum,
155,Weitzman,Hal,http://www.chicagobooth.edu/faculty/directory/w/hal-weitzman,
156,Talhelm,Thomas,http://www.chicagobooth.edu/faculty/directory/t/thomas-talhelm,
157,Dean,Joshua,http://www.chicagobooth.edu/faculty/directory/d/joshua-dean,
158,Koch,Alex,http://www.chicagobooth.edu/faculty/directory/k/alex-koch,
159,Chaudhry,Shereen,http://www.chicagobooth.edu/faculty/directory/c/shereen-chaudhry,
160,Wittenbrink,Bernd,http://www.chicagobooth.edu/faculty/directory/w/bernd-wittenbrink,
161,Zinchenko,Elena,http://www.chicagobooth.edu/faculty/directory/z/elena-zinchenko,
162,Wu,George,http://www.chicagobooth.edu/faculty/directory/w/george-wu,
163,Rollert,John,http://www.chicagobooth.edu/faculty/directory/r/john-paul-rollert,
164,Epley,Nicholas,http://www.chicagobooth.edu/faculty/directory/e/nicholas-epley,
165,Pope,Devin,http://www.chicagobooth.edu/faculty/directory/p/devin-g-pope,
166,Risen,Jane,http://www.chicagobooth.edu/faculty/directory/r/jane-l-risen,
167,Ginzel,Linda,http://www.chicagobooth.edu/faculty/directory/g/linda-e-ginzel,
168,Menon,Tanya,0,
169,Bursztyn,Leo,0,
170,Imas,Alex,http://www.chicagobooth.edu/faculty/directory/i/alex-imas,
171,Sharkey,Amanda,http://www.chicagobooth.edu/faculty/directory/s/amanda-j-sharkey,
172,Burt,Ronald,http://www.chicagobooth.edu/faculty/directory/b/ronald-s-burt,
173,Chayet,Sergio,http://www.chicagobooth.edu/faculty/directory/c/sergio-chayet,
174,DeHoratius,Nicole,http://www.chicagobooth.edu/faculty/directory/d/nicole-dehoratius,
175,Ward,Amy,http://www.chicagobooth.edu/faculty/directory/w/amy-ward,
176,Adelman,Dan,http://www.chicagobooth.edu/faculty/directory/a/dan-adelman,
177,DeValve,Levi,http://www.chicagobooth.edu/faculty/directory/d/levi-devalve,
178,Aragam,Bryon,http://www.chicagobooth.edu/faculty/directory/a/bryon-aragam,
179,Liang,Tengyuan,http://www.chicagobooth.edu/faculty/directory/l/tengyuan-liang,
180,Polson,Nicholas,http://www.chicagobooth.edu/faculty/directory/p/nicholas-polson,
181,Kaji,Tetsuya,http://www.chicagobooth.edu/faculty/directory/k/tetsuya-kaji,
182,Carvalho,Carlos,http://www.chicagobooth.edu/faculty/directory/c/carlos-m-carvalho,
183,Sokolov,Vadim,http://www.chicagobooth.edu/faculty/directory/s/vadim-sokolov,
184,McCulloch,Robert,http://www.chicagobooth.edu/faculty/directory/m/robert-e-mcculloch,
185,Farrell,Max,http://www.chicagobooth.edu/faculty/directory/f/max-farrell,
186,Toulis,Panagiotis (Panos),http://www.chicagobooth.edu/faculty/directory/t/panagiotis-toulis-panos,
187,Xiu,Dacheng,http://www.chicagobooth.edu/faculty/directory/x/dacheng-xiu,
188,Smetanina,Ekaterina (Katja),http://www.chicagobooth.edu/faculty/directory/s/ekaterina-katja-smetanina,
189,Rockova,Veronika,http://www.chicagobooth.edu/faculty/directory/r/veronika-rockova,
190,Tsay,Ruey,http://www.chicagobooth.edu/faculty/directory/t/ruey-s-tsay,
191,Russell,Jeffrey,http://www.chicagobooth.edu/faculty/directory/r/jeffrey-r-russell,
192,Kolar,Mladen,http://www.chicagobooth.edu/faculty/directory/k/mladen-kolar,
193,Gilula,Zvi,http://www.chicagobooth.edu/faculty/directory/g/zvi-gilula,
194,Hansen,Christian,http://www.chicagobooth.edu/faculty/directory/h/christian-b-hansen,
195,Wollmann,Thomas,http://www.chicagobooth.edu/faculty/directory/w/thomas-wollmann,
196,Shefi,Yoad,http://www.chicagobooth.edu/faculty/directory/s/yoad-shefi,
197,Marciano,Sonia,http://www.chicagobooth.edu/faculty/directory/m/sonia-marciano,
198,Chookaszian,Dennis,http://www.chicagobooth.edu/faculty/directory/c/dennis-h-chookaszian,
199,Goolsbee,Austan,http://www.chicagobooth.edu/faculty/directory/g/austan-d-goolsbee,
200,Morrissette,Stephen,http://www.chicagobooth.edu/faculty/directory/m/stephen-morrissette,
201,Rolnik,Guy,http://www.chicagobooth.edu/faculty/directory/r/guy-rolnik,
202,Ittelson,Mary,http://www.chicagobooth.edu/faculty/directory/i/mary-ittelson,
